name,kegg,synonyms,inchikey,smiles,chebis,pubchems,rdkit_img,kegg_img
"5β-pregnane-17α,21-diol-3,11,20-trione(aq)",,[],,,,,,
"5alpha-androstane-3beta,17alpha-diol(aq)",,[],,,,,"images/rdkit/5alpha-androstane-3beta,17alpha-diol(aq).gif",
5alpha-androstane-17alpha-ol-3-one(aq),,[],,,,,,
4-androstene-17-ol-3-one(aq),kegg:C00535,[],,,chebi:17347,pubchem:3817,,https://rest.kegg.jp/get/:/image
"4-androstene-3,17-dione(aq)",kegg:C00280,[],,,chebi:16422,pubchem:3575,"images/rdkit/4-androstene-3,17-dione(aq).gif",https://rest.kegg.jp/get/:/image
"5α-pregnane-3β,17α,21-triol-11,20-dione(aq)",,[],,,,,,
"5α-pregnane-17α,21-diol-3,11,20-trione(aq)",,[],,,,,,
"1,2-propanediol(aq)",kegg:C00583,[],,,chebi:16997,pubchem:3862,"images/rdkit/1,2-propanediol(aq).gif",https://rest.kegg.jp/get/:/image
L-lactaldehyde(aq),kegg:C00424,"['L-lactaldehyde(aq)', '(S)-lactaldehyde(aq)']",,,chebi:18041,pubchem:3714,images/rdkit/L-lactaldehyde(aq).gif,https://rest.kegg.jp/get/:/image
3-hydroxypropanoate(aq),kegg:C01013,[],,,chebi:16510,pubchem:4258,images/rdkit/3-hydroxypropanoate(aq).gif,https://rest.kegg.jp/get/:/image
3-oxopropanoate(aq),kegg:C00222,"['3-oxopropanoate(aq)', '3-oxopropanoate']",,,chebi:33190,pubchem:3522,images/rdkit/3-oxopropanoate(aq).gif,https://rest.kegg.jp/get/:/image
2-hydroxy-3-oxopropanoate(aq),kegg:C01146,[],,,chebi:16992,pubchem:4376,images/rdkit/2-hydroxy-3-oxopropanoate(aq).gif,https://rest.kegg.jp/get/:/image
4-hydroxybutanoate(aq),kegg:C00989,[],,,chebi:16724,pubchem:4235,images/rdkit/4-hydroxybutanoate(aq).gif,https://rest.kegg.jp/get/:/image
4-oxobutanoate(aq),kegg:C00232,[],,,chebi:16265,pubchem:3531,images/rdkit/4-oxobutanoate(aq).gif,https://rest.kegg.jp/get/:/image
estradiol-17(aq),kegg:C00951,[],,,chebi:16469,pubchem:4202,,https://rest.kegg.jp/get/:/image
estrone(aq),kegg:C00468,[],,,chebi:17263,pubchem:3751,images/rdkit/estrone(aq).gif,https://rest.kegg.jp/get/:/image
D-gluconate(aq),kegg:C00257,[],,,chebi:18391,pubchem:3556,images/rdkit/D-gluconate(aq).gif,https://rest.kegg.jp/get/:/image
5-oxo-D-gluconate(aq),,[],,,,,,
(R)-glyceraldehyde(aq),kegg:C00577,"['(R)-glyceraldehyde(aq)', 'D-glyceraldehyde(aq)']",,,chebi:17378,pubchem:3856,images/rdkit/(R)-glyceraldehyde(aq).gif,https://rest.kegg.jp/get/:/image
3-phospho-D-glycerate(aq),kegg:C00197,"['3-phospho-D-glycerate(aq)', '(R)-3-phosphoglycerate(aq)']",,,chebi:17794,pubchem:3497,images/rdkit/3-phospho-D-glycerate(aq).gif,https://rest.kegg.jp/get/:/image
3-phosphohydroxypyruvate(aq),kegg:C03232,"['3-phosphohydroxypyruvate(aq)', '3-phosphonooxypyruvate(aq)']",,,chebi:18110,pubchem:6103,images/rdkit/3-phosphohydroxypyruvate(aq).gif,https://rest.kegg.jp/get/:/image
"-(3,5-diiodo-4-hydroxyphenyl)lactate(aq)",kegg:C04367,[],,,chebi:16122,pubchem:7011,,https://rest.kegg.jp/get/:/image
"-(3,5-diiodo-4-hydroxyphenyl)pyruvate(aq)",kegg:C01244,[],,,chebi:17131,pubchem:4465,,https://rest.kegg.jp/get/:/image
3-hydroxybenzyl alcohol(aq),kegg:C03351,[],,,chebi:17069,pubchem:6192,,https://rest.kegg.jp/get/:/image
